+====================+===================+=================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                             |
+====================+===================+=================================================+
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[31]/D                 |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[3]/D                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[8]/D                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[2]/D                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[5]/D                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[9]/D                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_cpu/u_core/u_ifu/pc_reg_reg[1]_rep__2/D |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[12]/D                 |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[11]/D                 |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[30]/D                 |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[7]/D                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[6]/D                  |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_cpu/u_core/u_ifu/pc_reg_reg[31]/D       |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_cpu/u_core/u_ifu/pc_reg_reg[28]/D       |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_axil/i_araddr_reg[13]/D                 |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_cpu/u_core/u_ifu/pc_reg_reg[25]/D       |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_cpu/u_core/u_ifu/pc_reg_reg[30]/D       |
| sys_clk_pin        | sys_clk_pin       | u_cpu/u_cpu/u_core/u_ifu/pc_reg_reg[22]/D       |
