module,scope,base_line_hit,merged_line_hit,line_total,line_hit_delta,base_line_percent,merged_line_percent,base_toggle_hit,merged_toggle_hit,toggle_total,toggle_hit_delta,base_toggle_percent,merged_toggle_percent
alu.v,dut,29,29,30,0,96.67,96.67,536,536,542,0,98.89,98.89
bmu.v,dut,20,20,60,0,33.33,33.33,526,526,536,0,98.13,98.13
bp.v,dut,34,51,59,17,57.63,86.44,199,219,872,20,22.82,25.11
cdec.v,dut,61,70,101,9,60.40,69.31,360,364,434,4,82.95,83.87
core.v,dut,576,620,874,44,65.90,70.94,3900,4147,7580,247,51.45,54.71
csr.v,dut,88,131,278,43,31.65,47.12,403,567,3772,164,10.68,15.03
div.v,dut,68,68,76,0,89.47,89.47,490,490,688,0,71.22,71.22
forward.v,dut,28,28,28,0,100.00,100.00,448,448,448,0,100.00,100.00
hazard.v,dut,16,16,18,0,88.89,88.89,64,64,68,0,94.12,94.12
idu.v,dut,105,111,193,6,54.40,57.51,616,622,736,6,83.70,84.51
ifu.v,dut,17,20,22,3,77.27,90.91,61,77,462,16,13.20,16.67
lsu.v,dut,43,43,43,0,100.00,100.00,396,396,396,0,100.00,100.00
mul.v,dut,24,24,24,0,100.00,100.00,582,582,606,0,96.04,96.04
pmp.v,dut,10,10,57,0,17.54,17.54,69,69,990,0,6.97,6.97
ras.v,dut,12,12,24,0,50.00,50.00,22,22,660,0,3.33,3.33
rfu.v,dut,21,21,27,0,77.78,77.78,227,227,370,0,61.35,61.35
tb_csr_irq_coverage.v,testbench,0,126,136,126,0.00,92.65,0,409,748,409,0.00,54.68
tb_random_lockstep.v,testbench,76,76,80,0,95.00,95.00,474,474,654,0,72.48,72.48
trigger.v,dut,55,55,157,0,35.03,35.03,197,209,1196,12,16.47,17.47
