module,scope,base_line_hit,merged_line_hit,line_total,line_hit_delta,base_line_percent,merged_line_percent,base_toggle_hit,merged_toggle_hit,toggle_total,toggle_hit_delta,base_toggle_percent,merged_toggle_percent
alu.v,dut,29,30,30,1,96.67,100.00,536,536,542,0,98.89,98.89
bmu.v,dut,20,20,60,0,33.33,33.33,526,526,536,0,98.13,98.13
bp.v,dut,51,59,59,8,86.44,100.00,219,272,872,53,25.11,31.19
cdec.v,dut,70,70,101,0,69.31,69.31,364,364,434,0,83.87,83.87
core.v,dut,620,639,874,19,70.94,73.11,4147,4231,7580,84,54.71,55.82
csr.v,dut,131,131,278,0,47.12,47.12,567,571,3772,4,15.03,15.14
div.v,dut,68,68,76,0,89.47,89.47,490,490,688,0,71.22,71.22
forward.v,dut,28,28,28,0,100.00,100.00,448,448,448,0,100.00,100.00
hazard.v,dut,16,16,18,0,88.89,88.89,64,64,68,0,94.12,94.12
idu.v,dut,111,119,193,8,57.51,61.66,622,628,736,6,84.51,85.33
ifu.v,dut,20,22,22,2,90.91,100.00,77,99,462,22,16.67,21.43
lsu.v,dut,43,43,43,0,100.00,100.00,396,396,396,0,100.00,100.00
mul.v,dut,24,24,24,0,100.00,100.00,582,582,606,0,96.04,96.04
pmp.v,dut,10,10,57,0,17.54,17.54,69,69,990,0,6.97,6.97
ras.v,dut,12,21,24,9,50.00,87.50,22,46,660,24,3.33,6.97
rfu.v,dut,21,21,27,0,77.78,77.78,227,227,370,0,61.35,61.35
tb_bp_ras_coverage.v,testbench,0,76,82,76,0.00,92.68,0,369,670,369,0.00,55.07
tb_csr_irq_coverage.v,testbench,126,126,136,0,92.65,92.65,409,409,748,0,54.68,54.68
tb_random_lockstep.v,testbench,76,76,80,0,95.00,95.00,474,474,654,0,72.48,72.48
trigger.v,dut,55,55,157,0,35.03,35.03,209,209,1196,0,17.47,17.47
