module,scope,base_line_hit,merged_line_hit,line_total,line_hit_delta,base_line_percent,merged_line_percent,base_toggle_hit,merged_toggle_hit,toggle_total,toggle_hit_delta,base_toggle_percent,merged_toggle_percent
alu.v,dut,30,58,62,28,96.77,93.55,536,536,542,0,98.89,98.89
bp.v,dut,59,110,118,51,100.00,93.22,270,291,872,21,30.96,33.37
cdec.v,dut,72,166,207,94,67.92,80.19,364,370,434,6,83.87,85.25
core.v,dut,635,1070,1231,435,89.31,86.92,5778,7808,14506,2030,56.08,53.83
csr.v,dut,106,153,240,47,77.37,63.75,469,487,2902,18,18.63,16.78
div.v,dut,65,79,165,14,70.65,47.88,489,489,1166,0,41.94,41.94
forward.v,dut,28,55,56,27,100.00,98.21,448,448,448,0,100.00,100.00
hazard.v,dut,16,30,34,14,94.12,88.24,64,66,66,2,96.97,100.00
idu.v,dut,87,158,184,71,94.57,85.87,598,598,682,0,87.68,87.68
ifu.v,dut,32,54,55,22,96.97,98.18,160,170,924,10,17.32,18.40
lsu.v,dut,43,86,86,43,100.00,100.00,396,396,396,0,100.00,100.00
mul.v,dut,35,53,80,18,81.40,66.25,651,653,1014,2,64.20,64.40
ras.v,dut,21,42,48,21,87.50,87.50,45,49,660,4,6.82,7.42
rfu.v,dut,16,35,35,19,100.00,100.00,226,335,452,109,100.00,74.12
tb_bp_ras_coverage.v,testbench,76,76,78,0,97.44,97.44,369,369,600,0,61.50,61.50
tb_csr_irq_coverage.v,testbench,126,126,132,0,95.45,95.45,409,409,678,0,60.32,60.32
tb_random_lockstep.v,testbench,76,76,76,0,100.00,100.00,471,471,584,0,80.65,80.65
tb_rv32c_cross_coverage.v,testbench,0,81,83,81,0.00,97.59,0,343,602,343,0.00,56.98
