module,scope,base_line_hit,merged_line_hit,line_total,line_hit_delta,base_line_percent,merged_line_percent,base_toggle_hit,merged_toggle_hit,toggle_total,toggle_hit_delta,base_toggle_percent,merged_toggle_percent
alu.v,dut,30,30,31,0,96.77,96.77,536,538,542,2,98.89,99.26
bp.v,dut,59,59,59,0,100.00,100.00,291,318,872,27,33.37,36.47
cdec.v,dut,101,106,106,5,95.28,100.00,370,370,434,0,85.25,85.25
core.v,dut,645,672,711,27,90.72,94.51,6239,7279,10304,1040,60.55,70.64
csr.v,dut,106,114,137,8,77.37,83.21,473,543,2518,70,18.78,21.56
div.v,dut,65,88,92,23,70.65,95.65,489,753,1166,264,41.94,64.58
forward.v,dut,28,28,28,0,100.00,100.00,448,448,448,0,100.00,100.00
hazard.v,dut,17,17,17,0,100.00,100.00,66,66,66,0,100.00,100.00
idu.v,dut,87,87,92,0,94.57,94.57,598,598,682,0,87.68,87.68
ifu.v,dut,32,32,33,0,96.97,96.97,170,172,924,2,18.40,18.61
lsu.v,dut,43,43,43,0,100.00,100.00,396,396,396,0,100.00,100.00
mul.v,dut,35,43,43,8,81.40,100.00,653,915,1014,262,64.40,90.24
ras.v,dut,21,21,24,0,87.50,87.50,49,50,660,1,7.42,7.58
rfu.v,dut,16,16,16,0,100.00,100.00,226,226,226,0,100.00,100.00
tb_bp_ras_coverage.v,testbench,76,76,78,0,97.44,97.44,369,369,600,0,61.50,61.50
tb_csr_irq_coverage.v,testbench,126,126,132,0,95.45,95.45,409,409,678,0,60.32,60.32
tb_illegal_munit_coverage.v,testbench,0,102,108,102,0.00,94.44,0,442,596,442,0.00,74.16
tb_random_lockstep.v,testbench,76,76,76,0,100.00,100.00,471,471,584,0,80.65,80.65
tb_rv32c_cross_coverage.v,testbench,81,81,83,0,97.59,97.59,343,343,602,0,56.98,56.98
