module,source,signoff_scope,hit_lines,total_lines,uncovered_lines,line_percent,toggle_hit,toggle_total,toggle_percent
alu.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/alu.v,dut,30,31,1,96.77,538,542,99.26
bp.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/bp.v,dut,59,59,0,100.00,318,872,36.47
cdec.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/cdec.v,dut,106,106,0,100.00,370,434,85.25
core.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/core.v,dut,418,422,4,99.05,3625,4878,74.31
csr.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/csr.v,dut,86,91,5,94.51,378,1288,29.35
div.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/div.v,dut,70,71,1,98.59,517,686,75.36
forward.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/forward.v,dut,28,28,0,100.00,448,448,100.00
hazard.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/hazard.v,dut,17,17,0,100.00,66,66,100.00
idu.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/idu.v,dut,86,91,5,94.51,594,678,87.61
ifu.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/ifu.v,dut,22,22,0,100.00,101,462,21.86
lsu.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/lsu.v,dut,43,43,0,100.00,396,396,100.00
mul.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/mul.v,dut,33,33,0,100.00,608,610,99.67
ras.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/ras.v,dut,21,24,3,87.50,50,660,7.58
rfu.v,/home/edauser/project/SOC/Magpie_M1/IP/cpu_m1/rtl/pipeline_v2/ch2_lab08e/rfu.v,dut,16,16,0,100.00,226,226,100.00
tb_bp_ras_coverage.v,/home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_04_04_illegal_munit_coverage/tb_bp_ras_coverage.v,testbench,76,78,2,97.44,369,600,61.50
tb_csr_irq_coverage.v,/home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_04_04_illegal_munit_coverage/tb_csr_irq_coverage.v,testbench,126,132,6,95.45,409,678,60.32
tb_illegal_munit_coverage.v,/home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_04_04_illegal_munit_coverage/tb_illegal_munit_coverage.v,testbench,102,108,6,94.44,442,596,74.16
tb_random_lockstep.v,/home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_04_04_illegal_munit_coverage/tb_random_lockstep.v,testbench,76,76,0,100.00,471,584,80.65
tb_rv32c_cross_coverage.v,/home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_04_04_illegal_munit_coverage/tb_rv32c_cross_coverage.v,testbench,81,83,2,97.59,343,602,56.98
