module,scope,base_line_hit,merged_line_hit,line_total,line_hit_delta,base_line_percent,merged_line_percent,base_toggle_hit,merged_toggle_hit,toggle_total,toggle_hit_delta,base_toggle_percent,merged_toggle_percent
alu.v,dut,30,30,31,0,96.77,96.77,538,538,542,0,99.26,99.26
bp.v,dut,59,59,59,0,100.00,100.00,322,322,872,0,36.93,36.93
cdec.v,dut,106,106,106,0,100.00,100.00,370,370,434,0,85.25,85.25
core.v,dut,676,676,711,0,95.08,95.08,7281,7281,10304,0,70.66,70.66
csr.v,dut,114,122,137,8,83.21,89.05,543,553,2518,10,21.56,21.96
div.v,dut,88,88,92,0,95.65,95.65,753,753,1166,0,64.58,64.58
forward.v,dut,28,28,28,0,100.00,100.00,448,448,448,0,100.00,100.00
hazard.v,dut,17,17,17,0,100.00,100.00,66,66,66,0,100.00,100.00
idu.v,dut,87,90,92,3,94.57,97.83,598,600,682,2,87.68,87.98
ifu.v,dut,32,32,33,0,96.97,96.97,172,172,924,0,18.61,18.61
lsu.v,dut,43,43,43,0,100.00,100.00,396,396,396,0,100.00,100.00
mul.v,dut,43,43,43,0,100.00,100.00,915,915,1014,0,90.24,90.24
ras.v,dut,24,24,24,0,100.00,100.00,105,105,660,0,15.91,15.91
rfu.v,dut,16,16,16,0,100.00,100.00,226,226,226,0,100.00,100.00
tb_bp_ras_coverage.v,testbench,76,76,78,0,97.44,97.44,369,369,600,0,61.50,61.50
tb_csr_idu_residual_coverage.v,testbench,0,104,124,104,0.00,83.87,0,146,888,146,0.00,16.44
tb_csr_irq_coverage.v,testbench,126,126,132,0,95.45,95.45,409,409,678,0,60.32,60.32
tb_illegal_munit_coverage.v,testbench,102,102,108,0,94.44,94.44,442,442,596,0,74.16,74.16
tb_random_lockstep.v,testbench,76,76,76,0,100.00,100.00,471,471,584,0,80.65,80.65
tb_ras_recovery_coverage.v,testbench,105,105,111,0,94.59,94.59,259,259,728,0,35.58,35.58
tb_rv32c_cross_coverage.v,testbench,81,81,83,0,97.59,97.59,343,343,602,0,56.98,56.98
