cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,15,0,0,7,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,19,0,0,0,0
6,operand,0,0,31,0,15
6,value,0,0,0,0,0
6,imm,1,2,0,255,0
6,decode,19,0,0,0,0
7,operand,5,0,1,1,19
7,value,0,0,0,0,0
7,imm,1,2,0,1,0
7,decode,99,0,0,0,0
7,branch,1,0,0,0,0
8,operand,6,0,1,1,19
8,value,0,0,0,0,0
8,imm,1,2,0,1,0
8,decode,19,0,0,127,0
8,bp,1,0,0,0,0
8,redirect,1,0,0,0,0
9,operand,8,5,6,4,99
9,value,1,1,0,0,0
9,imm,3,2,0,8,0
11,decode,99,0,1,0,1
11,branch,0,0,0,0,0
12,decode,19,0,0,0,0
12,bp,0,0,0,0,0
13,operand,8,5,6,4,99
13,value,1,1,0,0,0
13,imm,3,2,0,8,0
13,decode,19,0,0,127,0
14,operand,8,0,1,1,19
14,value,0,0,0,0,0
14,imm,1,2,0,1,0
14,decode,19,0,0,0,0
15,operand,7,0,31,1,19
15,value,0,0,0,0,0
15,imm,1,3,0,4294967295,0
15,decode,99,0,4,0,4
15,branch,1,0,0,0,0
16,operand,28,0,2,1,19
16,value,0,16384,0,0,0
16,imm,1,2,0,2,0
16,decode,19,0,0,127,0
16,bp,1,0,0,0,0
16,redirect,1,0,0,0,0
17,operand,8,7,28,4,99
17,value,4294967295,2,0,0,0
17,imm,3,2,0,8,0
19,decode,99,0,5,0,5
19,branch,0,0,0,0,0
20,decode,19,0,0,0,0
20,bp,0,0,0,0,0
21,operand,8,7,28,4,99
21,value,4294967295,2,0,0,0
21,imm,3,2,0,8,0
21,decode,19,0,0,0,0
22,operand,9,0,2,1,19
22,value,0,16384,0,0,0
22,imm,1,2,0,2,0
22,decode,19,0,0,0,0
23,operand,29,0,3,1,19
23,value,0,0,0,0,0
23,imm,1,2,0,3,0
23,decode,99,0,6,0,6
23,branch,1,0,0,0,0
24,operand,30,0,4,1,19
24,value,0,0,0,0,0
24,imm,1,2,0,4,0
24,decode,19,0,0,127,0
