cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,55,0,5,9,5
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,19,0,0,51,0
6,operand,5,8,3,7,55
6,value,0,0,0,0,0
6,imm,4,2,0,305418240,0
6,decode,115,0,1,26,1
6,csr_decode,1,0,0,0,0
7,operand,5,5,24,1,19
7,value,305418240,0,0,0,0
7,imm,1,2,0,1656,0
7,decode,19,1,0,0,0
8,operand,6,5,0,6,115
8,value,305419896,0,0,0,0
8,imm,1,2,0,832,0
8,decode,115,0,2,26,2
8,csr_decode,2,0,0,0,0
8,csr,1,0,0,0,0
9,operand,5,0,15,1,19
9,value,0,0,0,0,0
9,imm,1,2,0,15,0
9,decode,19,1,0,0,0
10,operand,6,5,0,6,115
10,value,15,0,0,0,0
10,imm,1,2,0,832,0
10,decode,115,0,3,26,3
10,csr_decode,3,0,0,0,0
10,csr,2,0,0,0,0
11,operand,5,0,8,1,19
11,value,0,0,0,0,0
11,imm,1,2,0,8,0
11,decode,23,0,0,0,0
12,operand,6,5,0,6,115
12,value,8,0,0,0,0
12,imm,1,2,0,832,0
12,decode,19,0,0,1,0
12,csr,3,0,0,0,0
13,operand,5,0,0,7,23
13,value,0,0,0,0,0
13,imm,4,1,1,0,0
13,decode,115,0,1,24,1
13,csr_decode,1,0,0,0,0
14,operand,5,5,22,1,19
14,value,32,0,0,0,0
14,imm,1,2,0,54,0
14,decode,55,1,1,0,1
15,operand,0,5,5,6,115
15,value,86,86,0,0,0
15,imm,1,2,0,773,0
15,decode,19,0,0,64,0
15,csr,1,0,0,0,0
16,operand,5,0,0,7,55
16,value,0,0,0,0,0
16,imm,4,2,0,4096,0
16,decode,115,0,2,24,2
16,csr_decode,2,0,0,0,0
17,operand,5,5,0,1,19
17,value,4096,0,0,0,0
17,imm,1,3,2,4294965248,0
17,decode,115,0,3,24,3
17,csr_decode,3,0,0,0,0
18,operand,0,5,4,6,115
18,value,2048,0,0,0,0
18,imm,1,2,0,772,0
18,decode,19,1,0,0,0
18,csr,2,0,0,0,0
19,operand,0,5,4,6,115
19,value,2048,0,0,0,0
19,imm,1,2,0,772,0
19,decode,115,0,2,24,2
19,csr_decode,2,0,0,0,0
19,csr,3,0,0,0,0
20,operand,5,0,8,1,19
20,value,0,0,0,0,0
20,imm,1,2,0,8,0
20,decode,115,0,3,24,3
20,csr_decode,3,0,0,0,0
21,operand,0,5,0,6,115
21,value,8,0,0,0,0
21,imm,1,2,0,768,0
21,decode,19,0,0,2,0
21,csr,2,0,0,0,0
22,operand,0,5,0,6,115
22,value,8,0,0,0,0
22,imm,1,2,0,768,0
22,decode,115,0,1,26,1
22,csr_decode,1,0,0,0,0
22,csr,3,0,0,0,0
23,operand,5,0,0,1,19
23,value,0,0,0,0,0
23,imm,1,2,0,64,0
23,decode,19,0,0,2,0
24,operand,0,5,1,6,115
24,value,64,0,0,0,0
24,imm,1,2,0,833,0
24,decode,115,0,1,26,1
24,csr_decode,1,0,0,0,0
24,csr,1,0,0,0,0
25,operand,5,0,21,1,19
25,value,0,0,0,0,0
25,imm,1,2,0,85,0
25,decode,115,1,0,0,0
26,operand,0,5,2,6,115
26,value,85,16384,0,0,0
26,imm,1,2,0,834,0
26,decode,115,0,0,24,0
26,mret_decode,1,0,0,0,0
26,csr,1,0,0,0,0
27,decode,0,1,0,0,0
27,redirect,1,0,0,0,0
27,trap,2,0,0,0,0
