cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,19,1,0,0,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,111,1,0,3,0
5,jump,1,0,0,0,0
6,operand,8,0,1,1,19
6,value,0,0,0,0,0
6,imm,1,2,0,1,0
6,decode,19,1,0,0,0
6,bp,1,0,0,0,0
6,redirect,1,0,0,0,0
7,operand,0,0,24,5,111
7,value,0,0,0,0,0
7,imm,5,2,0,120,0
7,hazard,fetch_stall,0,0,0,0
9,decode,55,0,5,9,5
10,decode,19,0,0,0,0
11,operand,10,8,3,7,55
11,value,1,0,0,0,0
11,imm,4,2,0,305418240,0
11,decode,115,1,0,0,0
12,operand,11,10,7,1,19
12,value,305418240,0,0,0,0
12,imm,1,2,0,7,0
12,decode,x,x,x,x,x
13,decode,x,x,x,x,x
13,redirect,1,0,0,0,0
13,trap,2,0,0,0,0
