cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,23,0,0,0,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,19,0,0,7,0
6,operand,5,0,0,7,23
6,value,0,0,0,0,0
6,imm,4,1,1,0,0
6,decode,115,0,1,24,1
6,csr_decode,1,0,0,0,0
7,operand,5,5,24,1,19
7,value,8,0,0,0,0
7,imm,1,2,0,248,0
7,decode,55,1,1,0,1
8,operand,0,5,5,6,115
8,value,256,256,0,0,0
8,imm,1,2,0,773,0
8,decode,19,0,0,64,0
8,csr,1,0,0,0,0
9,operand,5,0,0,7,55
9,value,0,0,0,0,0
9,imm,4,2,0,4096,0
9,decode,115,0,2,24,2
9,csr_decode,2,0,0,0,0
10,operand,5,5,0,1,19
10,value,4096,0,0,0,0
10,imm,1,3,2,4294965248,0
10,decode,19,1,0,0,0
11,operand,0,5,4,6,115
11,value,2048,0,0,0,0
11,imm,1,2,0,772,0
11,decode,115,0,2,24,2
11,csr_decode,2,0,0,0,0
11,csr,2,0,0,0,0
12,operand,5,0,8,1,19
12,value,0,0,0,0,0
12,imm,1,2,0,8,0
12,decode,19,1,0,0,0
13,operand,0,5,0,6,115
13,value,8,0,0,0,0
13,imm,1,2,0,768,0
13,decode,19,0,0,0,0
13,csr,2,0,0,0,0
14,operand,18,0,3,1,19
14,value,0,0,0,0,0
14,imm,1,2,0,3,0
14,decode,111,1,0,2,0
14,jump,1,0,0,0,0
15,operand,19,18,4,1,19
15,value,3,0,0,0,0
15,imm,1,2,0,4,0
15,decode,0,1,0,0,0
15,bp,1,0,0,0,0
15,redirect,1,0,0,0,0
16,operand,0,0,22,5,111
16,value,0,0,0,0,0
16,imm,5,2,0,86,0
18,decode,19,1,0,0,0
19,decode,19,1,0,0,0
20,decode,55,0,0,8,0
20,redirect,1,0,0,0,0
20,trap,3,0,0,0,0
23,decode,55,0,0,8,0
24,decode,115,0,2,26,2
24,csr_decode,2,0,0,0,0
25,operand,5,0,0,7,55
25,value,0,0,0,0,0
25,imm,4,2,0,268435456,0
25,decode,35,0,2,0,2
26,operand,6,0,1,6,115
26,value,0,0,0,0,0
26,imm,1,2,0,833,0
26,decode,115,0,2,26,2
26,csr_decode,2,0,0,0,0
26,ls,0,1,2,0,0
27,operand,0,5,6,3,35
27,value,268435456,130,0,0,0
27,imm,2,1,1,0,0
27,decode,35,0,2,0,2
28,operand,6,0,2,6,115
28,value,0,16384,0,0,0
28,imm,1,2,0,834,0
28,decode,115,0,2,24,2
28,csr_decode,2,0,0,0,0
28,ls,0,1,2,0,0
29,operand,4,5,6,3,35
29,value,268435456,2147483659,0,0,0
29,imm,2,2,0,4,0
29,decode,35,0,2,0,2
30,operand,6,0,0,6,115
30,value,0,0,0,0,0
30,imm,1,2,0,768,0
30,decode,115,0,0,24,0
30,mret_decode,1,0,0,0,0
30,ls,0,1,2,0,0
31,operand,8,5,6,3,35
31,value,268435456,6272,0,0,0
31,imm,2,2,0,8,0
31,decode,x,x,x,x,x
32,operand,0,0,2,6,115
32,value,0,16384,0,0,0
32,imm,1,2,0,770,0
32,decode,x,x,x,x,x
32,redirect,1,0,0,0,0
32,mret,1,0,0,0,0
