cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,55,0,0,0,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,19,0,0,8,0
6,operand,5,0,1,7,55
6,value,0,0,0,0,0
6,imm,4,2,0,1048576,0
6,decode,103,0,0,0,0
6,jump,0,1,0,0,0
7,operand,5,5,0,1,19
7,value,1048576,0,0,0,0
7,imm,1,2,0,256,0
7,decode,0,1,0,0,0
7,bp,1,0,0,0,0
7,redirect,1,0,0,0,0
8,operand,0,5,0,5,103
8,value,1048832,0,0,0,0
8,imm,1,1,1,0,0
10,decode,111,0,0,64,0
10,jump,1,0,0,0,0
11,decode,x,x,x,x,x
11,bp,1,0,0,0,0
11,redirect,1,0,0,0,0
12,operand,0,0,0,5,111
12,value,0,0,0,0,0
12,imm,5,3,2,4293918720,0
14,decode,111,0,0,64,0
14,jump,1,0,0,0,0
15,decode,x,x,x,x,x
15,bp,1,0,0,0,0
15,redirect,1,0,0,0,0
16,operand,0,0,0,5,111
16,value,0,0,0,0,0
16,imm,5,3,2,4293918720,0
