cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,111,0,0,0,0
4,jump,1,0,0,0,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,x,x,x,x,x
5,bp,1,0,0,0,0
5,redirect,1,0,0,0,0
6,operand,0,0,0,5,111
6,value,0,0,0,0,0
6,imm,5,1,1,0,0
8,decode,111,0,0,0,0
8,jump,1,0,0,0,0
9,decode,111,0,0,0,0
9,jump,1,0,0,0,0
9,bp,0,0,0,0,0
10,operand,0,0,0,5,111
10,value,0,0,0,0,0
10,imm,5,1,1,0,0
10,decode,111,0,0,0,0
10,jump,1,0,0,0,0
10,bp,0,0,0,0,0
11,operand,0,0,0,5,111
11,value,0,0,0,0,0
11,imm,5,1,1,0,0
11,decode,111,0,0,0,0
11,jump,1,0,0,0,0
11,bp,0,0,0,0,0
12,operand,0,0,0,5,111
12,value,0,0,0,0,0
12,imm,5,1,1,0,0
12,decode,111,0,0,0,0
12,jump,1,0,0,0,0
12,bp,0,0,0,0,0
