cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,23,0,0,0,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,19,0,0,0,0
6,operand,5,0,0,7,23
6,value,0,0,0,0,0
6,imm,4,1,1,0,0
6,decode,3,0,2,0,2
7,operand,5,5,28,1,19
7,value,8,0,0,0,0
7,imm,1,2,0,28,0
7,decode,19,0,0,0,0
7,ls,1,0,2,0,0
7,hazard,load_use,0,0,0,0
8,operand,9,5,0,2,3
8,value,36,0,0,0,0
8,imm,1,1,1,0,0
8,decode,19,0,0,0,0
9,decode,51,0,0,0,0
10,operand,18,9,1,1,19
10,value,33,0,0,0,0
10,imm,1,2,0,1,0
10,decode,35,0,2,0,2
11,operand,19,18,9,1,51
11,value,34,33,0,0,0
11,decode,115,0,0,0,0
11,ls,0,1,2,0,0
12,operand,4,5,19,3,35
12,value,36,67,0,0,0
12,imm,2,2,0,4,0
12,decode,19,1,0,0,0
13,decode,0,1,0,0,0
13,redirect,1,0,0,0,0
13,trap,2,0,0,0,0
