cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,19,0,0,1,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,19,0,0,0,0
6,operand,10,0,1,1,19
6,value,0,0,0,0,0
6,imm,1,2,0,33,0
6,decode,51,0,0,1,0
6,hazard,muldiv_busy,0,0,0,0
7,operand,11,0,7,1,19
7,value,0,0,0,0,0
7,imm,1,2,0,7,0
7,decode,51,0,0,1,0
7,hazard,muldiv_busy,0,0,0,0
8,decode,51,0,0,1,0
8,hazard,muldiv_busy,0,0,0,0
9,decode,51,0,0,1,0
9,hazard,muldiv_busy,0,0,0,0
10,decode,51,0,0,1,0
11,decode,51,0,0,1,0
11,hazard,muldiv_busy,0,0,0,0
12,operand,12,10,11,1,51
12,value,33,7,0,0,0
12,decode,51,0,0,1,0
12,hazard,muldiv_busy,0,0,0,0
13,decode,51,0,0,1,0
13,hazard,muldiv_busy,0,0,0,0
14,decode,51,0,0,1,0
14,hazard,muldiv_busy,0,0,0,0
15,decode,51,0,0,1,0
16,decode,51,0,4,1,4
16,hazard,muldiv_busy,0,0,0,0
17,operand,13,12,11,1,51
17,value,231,7,0,0,0
17,decode,51,0,4,1,4
17,hazard,muldiv_busy,0,0,0,0
18,decode,51,0,4,1,4
18,hazard,muldiv_busy,0,0,0,0
19,decode,51,0,4,1,4
19,hazard,muldiv_busy,0,0,0,0
20,decode,51,0,4,1,4
20,hazard,muldiv_busy,0,0,0,0
21,decode,51,0,4,1,4
21,hazard,muldiv_busy,0,0,0,0
22,decode,51,0,4,1,4
22,hazard,muldiv_busy,0,0,0,0
23,decode,51,0,4,1,4
23,hazard,muldiv_busy,0,0,0,0
24,decode,51,0,4,1,4
24,hazard,muldiv_busy,0,0,0,0
25,decode,51,0,4,1,4
25,hazard,muldiv_busy,0,0,0,0
26,decode,51,0,4,1,4
26,hazard,muldiv_busy,0,0,0,0
27,decode,51,0,4,1,4
27,hazard,muldiv_busy,0,0,0,0
28,decode,51,0,4,1,4
28,hazard,muldiv_busy,0,0,0,0
29,decode,51,0,4,1,4
