cycle,event,a,b,c,d,e
2,decode,55,0,4,0,4
3,decode,19,0,0,0,0
4,operand,2,0,0,7,55
4,value,0,0,0,0,0
4,imm,4,2,0,16384,0
4,decode,23,0,0,0,0
5,operand,2,2,0,1,19
5,value,16384,0,0,0,0
5,imm,1,1,1,0,0
5,decode,19,0,0,9,0
6,operand,31,0,0,7,23
6,value,0,0,0,0,0
6,imm,4,1,1,0,0
6,decode,19,1,0,0,0
7,operand,31,31,24,1,19
7,value,8,0,0,0,0
7,imm,1,2,0,312,0
7,decode,19,0,0,24,0
8,operand,30,0,7,1,19
8,value,0,0,0,0,0
8,imm,1,2,0,7,0
8,decode,19,0,0,55,0
9,operand,5,0,8,1,19
9,value,0,0,0,0,0
9,imm,1,2,0,776,0
9,decode,19,0,0,9,0
10,operand,6,0,5,1,19
10,value,0,776,0,0,0
10,imm,1,2,0,1765,0
10,decode,19,0,0,11,0
11,operand,7,0,25,1,19
11,value,0,0,0,0,0
11,imm,1,2,0,313,0
11,decode,19,0,0,15,0
12,operand,8,0,12,1,19
12,value,0,0,0,0,0
12,imm,1,2,0,364,0
12,decode,19,0,0,15,0
13,operand,9,0,0,1,19
13,value,0,0,0,0,0
13,imm,1,2,0,480,0
13,decode,19,0,0,2,0
14,operand,10,0,7,1,19
14,value,0,313,0,0,0
14,imm,1,2,0,487,0
14,decode,19,0,0,26,0
15,operand,11,0,8,1,19
15,value,0,364,0,0,0
15,imm,1,2,0,72,0
15,decode,19,0,0,25,0
16,operand,12,0,30,1,19
16,value,0,7,0,0,0
16,imm,1,2,0,862,0
16,decode,19,0,0,18,0
17,operand,13,0,23,1,19
17,value,0,0,0,0,0
17,imm,1,2,0,823,0
17,decode,19,0,0,45,0
18,operand,14,0,26,1,19
18,value,0,0,0,0,0
18,imm,1,2,0,602,0
18,decode,19,0,0,8,0
19,operand,15,0,31,1,19
19,value,0,320,0,0,0
19,imm,1,2,0,1471,0
19,decode,19,0,0,11,0
20,operand,16,0,22,1,19
20,value,0,0,0,0,0
20,imm,1,2,0,278,0
20,decode,19,0,0,38,0
21,operand,17,0,28,1,19
21,value,0,0,0,0,0
21,imm,1,2,0,380,0
21,decode,19,0,0,55,0
22,operand,18,0,24,1,19
22,value,0,0,0,0,0
