cycle,event,a,b,c,d,e
1,hazard,mem_stall,0,0,0,0
2,hazard,mem_stall,0,0,0,0
3,hazard,mem_stall,0,0,0,0
4,hazard,mem_stall,0,0,0,0
6,decode,55,0,4,0,4
6,hazard,mem_stall,0,0,0,0
7,decode,55,0,4,0,4
7,hazard,mem_stall,0,0,0,0
8,decode,55,0,4,0,4
8,hazard,mem_stall,0,0,0,0
9,decode,55,0,4,0,4
10,decode,19,0,0,0,0
10,hazard,mem_stall,0,0,0,0
11,decode,19,0,0,0,0
11,hazard,mem_stall,0,0,0,0
12,decode,19,0,0,0,0
12,hazard,mem_stall,0,0,0,0
13,decode,19,0,0,0,0
14,decode,23,0,0,0,0
14,hazard,mem_stall,0,0,0,0
15,decode,23,0,0,0,0
15,hazard,mem_stall,0,0,0,0
16,decode,23,0,0,0,0
16,hazard,mem_stall,0,0,0,0
17,operand,2,2,0,1,19
17,value,16384,0,0,0,0
17,imm,1,1,1,0,0
17,decode,23,0,0,0,0
18,decode,19,0,0,0,0
18,hazard,mem_stall,0,0,0,0
19,decode,19,0,0,0,0
19,hazard,mem_stall,0,0,0,0
20,decode,19,0,0,0,0
20,hazard,mem_stall,0,0,0,0
21,operand,5,0,0,7,23
21,value,0,0,0,0,0
21,imm,4,1,1,0,0
21,decode,19,0,0,0,0
22,decode,3,0,2,0,2
22,hazard,mem_stall,0,0,0,0
23,decode,3,0,2,0,2
23,hazard,mem_stall,0,0,0,0
24,decode,3,0,2,0,2
24,hazard,mem_stall,0,0,0,0
25,operand,5,5,28,1,19
25,value,8,0,0,0,0
25,imm,1,2,0,28,0
25,decode,3,0,2,0,2
26,decode,19,0,0,0,0
26,ls,1,0,2,0,0
26,hazard,load_use,0,0,0,0
26,hazard,mem_stall,0,0,0,0
27,decode,19,0,0,0,0
27,ls,1,0,2,0,0
27,hazard,load_use,0,0,0,0
27,hazard,mem_stall,0,0,0,0
28,decode,19,0,0,0,0
28,ls,1,0,2,0,0
28,hazard,load_use,0,0,0,0
28,hazard,mem_stall,0,0,0,0
29,operand,9,5,0,2,3
29,value,36,0,0,0,0
29,imm,1,1,1,0,0
29,decode,19,0,0,0,0
29,ls,1,0,2,0,0
29,hazard,load_use,0,0,0,0
30,decode,19,0,0,0,0
30,hazard,mem_stall,0,0,0,0
31,operand,9,5,0,2,3
31,value,36,0,0,0,0
31,imm,1,1,1,0,0
31,decode,19,0,0,0,0
32,decode,51,0,0,0,0
32,hazard,mem_stall,0,0,0,0
33,decode,51,0,0,0,0
34,decode,35,0,2,0,2
34,hazard,mem_stall,0,0,0,0
35,decode,35,0,2,0,2
35,hazard,mem_stall,0,0,0,0
36,decode,35,0,2,0,2
36,hazard,mem_stall,0,0,0,0
37,operand,19,18,9,1,51
37,value,34,33,0,0,0
37,decode,35,0,2,0,2
38,decode,115,0,0,0,0
38,ls,0,1,2,0,0
38,hazard,mem_stall,0,0,0,0
39,decode,115,0,0,0,0
39,ls,0,1,2,0,0
39,hazard,mem_stall,0,0,0,0
40,decode,115,0,0,0,0
40,ls,0,1,2,0,0
40,hazard,mem_stall,0,0,0,0
41,operand,4,5,19,3,35
41,value,36,67,0,0,0
41,imm,2,2,0,4,0
41,decode,115,0,0,0,0
41,ls,0,1,2,0,0
42,decode,19,1,0,0,0
42,hazard,mem_stall,0,0,0,0
43,decode,19,1,0,0,0
43,hazard,mem_stall,0,0,0,0
44,decode,19,1,0,0,0
44,hazard,mem_stall,0,0,0,0
45,operand,0,0,1,6,115
45,value,0,0,0,0,0
45,imm,1,2,0,1,0
45,decode,19,1,0,0,0
46,decode,0,1,0,0,0
46,hazard,mem_stall,0,0,0,0
46,trap,2,0,0,0,0
47,decode,0,1,0,0,0
47,hazard,mem_stall,0,0,0,0
47,trap,2,0,0,0,0
48,decode,0,1,0,0,0
48,hazard,mem_stall,0,0,0,0
48,trap,2,0,0,0,0
49,decode,0,1,0,0,0
49,redirect,1,0,0,0,0
49,trap,2,0,0,0,0
