M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before RegisterApps : M=840.078mb, Malloc-M=7mb, Available-M=93542mb, T=0s CPU=0s W=(2026-06-10 00:06:48)
STATS:: |   before LicenseMgr Init : M=1263.16mb, Malloc-M=430mb, Available-M=93120mb, T=0s CPU=0s W=(2026-06-10 00:06:49)
STATS:: |   after  LicenseMgr Init : M=1268.43mb, Malloc-M=431mb, Available-M=93114mb, T=0s CPU=0.35s W=(2026-06-10 00:06:49)
STATS:: after  RegisterApps : M=1339.15mb, Malloc-M=432mb, Available-M=93114mb, T=1s CPU=0.93s W=(2026-06-10 00:06:49)
STATS:: before VCS Read Task : M=1388.16mb, Malloc-M=478mb, Available-M=93065mb, T=0s CPU=0s W=(2026-06-10 00:06:50)
STATS:: |   before VSI_Load_DB+ M=1388.16mb, Malloc-M=478mb, Available-M=93051mb, T=0s CPU=0s W=(2026-06-10 00:06:50)
STATS:: |   after  VSI_Load_DB+ M=1388.16mb, Malloc-M=478mb, Available-M=93051mb, T=0s CPU=0s W=(2026-06-10 00:06:50)
STATS:: after  VCS Read Task : M=1388.16mb, Malloc-M=479mb, Available-M=93058mb, T=1s CPU=0.41s W=(2026-06-10 00:06:51)
STATS:: before Load VCS Message: M=1388.16mb, Malloc-M=479mb, Available-M=93058mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  Load VCS Message: M=1390.05mb, Malloc-M=481mb, Available-M=93056mb, T=0s CPU=0.04s W=(2026-06-10 00:06:51)
STATS:: before NLDM Creation : M=1390.05mb, Malloc-M=481mb, Available-M=93056mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before LoadCircuitModel : M=1390.05mb, Malloc-M=481mb, Available-M=93056mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before VsiLib_Restore : M=1390.3mb, Malloc-M=482mb, Available-M=93056mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  VsiLib_Restore : M=1390.3mb, Malloc-M=482mb, Available-M=93056mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  LoadCircuitModel : M=1390.3mb, Malloc-M=482mb, Available-M=93056mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before BuildNetlist : M=1390.3mb, Malloc-M=482mb, Available-M=93056mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before NLDM Build : M=1390.3mb, Malloc-M=482mb, Available-M=93056mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   before XMR_Resolution : Total:0 : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   |   after  XMR_Resolution : Success:0 : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  NLDM Build : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0.01s W=(2026-06-10 00:06:51)
STATS:: |   |   before Cell properties : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Cell properties : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  BuildNetlist : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0.01s W=(2026-06-10 00:06:51)
STATS:: after  NLDM Creation : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0.01s W=(2026-06-10 00:06:51)
STATS:: before createWordSplitBaseNetCacheUtilM=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  createWordSplitBaseNetCacheUtilM=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before populate SSF data: M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  populate SSF data: M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before DumpGateCountStats : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  DumpGateCountStats : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before DataModelStats : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  DataModelStats : M=1412.46mb, Malloc-M=504mb, Available-M=93034mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before ModuleDesignPropagation : M=1421.61mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  ModuleDesignPropagation : M=1421.61mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before PropertyLoad: Formal Property : M=1421.61mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  PropertyLoad: Formal Property : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0.01s W=(2026-06-10 00:06:51)
STATS:: before PropertyLoad: Formal Property : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  PropertyLoad: Formal Property : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before PropertyLoad: Formal Property : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  PropertyLoad: Formal Property : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before StaticCheck: StaticCheckProcess : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1421.73mb, Malloc-M=513mb, Available-M=93025mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: legalize : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: legalize : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: reduceBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: reduceBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: computeNetEquivalences : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: computeNetEquivalences : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before CombLoop : Topo Order M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  CombLoop : Topo Order M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before CombLoop : Compute Segments M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  CombLoop : Compute Segments M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  StaticCheck: CombLoopCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1430.76mb, Malloc-M=522mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: after  StaticCheck: StaticCheckProcess : M=1430.76mb, Malloc-M=513mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: before Check: check_fv_setup : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   before Check: BuildFormal : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: Init : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   after  Check: Init : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
STATS:: |   |   before Check: ResetSetup : M=1430.76mb, Malloc-M=516mb, Available-M=93016mb, T=0s CPU=0s W=(2026-06-10 00:06:51)
