
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Clock_info03b.csv
#     Report Created by: edauser
#     Report Created on:  Thu Jun 11 11:30:39 2026
#     Working Directory: /home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_p_cdc_rdc_xprop
#     SpyGlass Version : SpyGlass_vX-2025.06-SP1
#     Policy Name      : clock-reset(SpyGlass_vX-2025.06-SP1)
#
################################################################################
##Sheet_Prop:use_violation_based_waiver:1
##Sheet_Prop:instance_based_viol_col:1
ID,INSTANCE_TYPE,INSTANCE_NAME,CLOCK_NAME,CONSTANT_VALUE,WAIVED
1C,flop,cpu_m1_top.u_core.if_ex_pmp_fault,cpu_m1_top.clk,0,no
1D,flop,cpu_m1_top.u_core.ex_mem_is_amo_r,cpu_m1_top.clk,0,no
1E,flop,cpu_m1_top.u_core.ex_mem_amo_is_lr_r,cpu_m1_top.clk,0,no
1F,flop,cpu_m1_top.u_core.ex_mem_amo_is_sc_r,cpu_m1_top.clk,0,no
20,flop,cpu_m1_top.u_core.ex_mem_pmp_if_fault_r,cpu_m1_top.clk,0,no
21,flop,cpu_m1_top.u_core.amo_res_valid,cpu_m1_top.clk,0,no
22,flop,cpu_m1_top.u_core.ex_wb_is_amo_r,cpu_m1_top.clk,0,no
23,flop,cpu_m1_top.u_core.ex_wb_amo_is_sc_r,cpu_m1_top.clk,0,no
24,flop,cpu_m1_top.u_core.ex_wb_pmp_if_fault_r,cpu_m1_top.clk,0,no
25,flop,cpu_m1_top.u_core.ex_wb_pmp_data_fault_r,cpu_m1_top.clk,0,no
26,flop,cpu_m1_top.u_core.amo_state[1:0],cpu_m1_top.clk,0,no
27,flop,cpu_m1_top.u_core.amo_result_r[31:0],cpu_m1_top.clk,0,no
28,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[0][7:0],cpu_m1_top.clk,0,no
29,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[1][7:0],cpu_m1_top.clk,0,no
2A,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[2][7:0],cpu_m1_top.clk,0,no
2B,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[3][7:0],cpu_m1_top.clk,0,no
2C,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[4][7:0],cpu_m1_top.clk,0,no
2D,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[5][7:0],cpu_m1_top.clk,0,no
2E,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[6][7:0],cpu_m1_top.clk,0,no
2F,flop,cpu_m1_top.u_core.u_csr.pmpcfg_r[7][7:0],cpu_m1_top.clk,0,no
30,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[0][31:0],cpu_m1_top.clk,0,no
31,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[1][31:0],cpu_m1_top.clk,0,no
32,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[2][31:0],cpu_m1_top.clk,0,no
33,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[3][31:0],cpu_m1_top.clk,0,no
34,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[4][31:0],cpu_m1_top.clk,0,no
35,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[5][31:0],cpu_m1_top.clk,0,no
36,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[6][31:0],cpu_m1_top.clk,0,no
37,flop,cpu_m1_top.u_core.u_csr.pmpaddr_r[7][31:0],cpu_m1_top.clk,0,no
38,flop,cpu_m1_top.u_core.u_csr.dpc_reg[0],cpu_m1_top.clk,0,no
