################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: edauser
#     Report Created on: Thu Jun 11 11:30:40 2026
#     Working Directory: /home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_p_cdc_rdc_xprop
#     Report Location  : ./cpu_m1_phase_p_cdc_rdc_xprop/cpu_m1_top/cdc/cdc_verify_struct/spyglass_reports/clock-reset/Setup_port01/cpu_m1_top.csv
#     SpyGlass Version : SpyGlass_vX-2025.06-SP1
#     Policy Name      : clock-reset(SpyGlass_vX-2025.06-SP1)
#     Comment          : CSV File for Setup_port01 Rule
#
################################################################################
##Sheet_Prop:disable_row_filtering
Port Name, Port Direction, Status, Constraint(s),Inferred Data-path domain(s)
"clk",input,"fully constrained","clock","-"
"resetn",input,"fully constrained","reset,Inferred abstract_port","cpu_m1_top.clk(clk)"
"ibus_ready",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"ibus_rdata[0:31]",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dbus_ready",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dbus_rdata[0:31]",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"irq_external_pulse",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"mtip",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"msip",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"meip",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dm_halt_req",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dm_resume_req",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dm_acc_en",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dm_acc_write",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dm_acc_regno[0:15]",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
"dm_acc_wdata[0:31]",input,"fully constrained","Inferred abstract_port","cpu_m1_top.clk(clk)"
