
################################################################################
#
# This file has been generated by SpyGlass:
#     Report Name      : Block_Summary.csv
#     Report Created by: edauser
#     Report Created on:  Thu Jun 11 11:30:43 2026
#     Working Directory: /home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_p_cdc_rdc_xprop
#     SpyGlass Version : SpyGlass_vX-2025.06-SP1
#     Policy Name      : clock-reset(SpyGlass_vX-2025.06-SP1)
#
################################################################################
Set-Case-Analysis,0 
Assume-path,0 
CDC-False-Path,0 
Total Time,2 
Total flat instances,0 
Clocks,1 
Domains,1 
BB Clocks,0 
Resets,1 
BB Resets,0 
Regs missing clock definition(Clock_info03a),0 
Clock Convergences on unselected MUX(Clock_info05),0 
Clock convergences at unselected logic(Clock_info05b),0 
Clock re-definitions(Clock_check07),0 
