################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: edauser
#     Report Created on: Thu Jun 11 11:30:44 2026
#     Working Directory: /home/edauser/project/SOC/Magpie_M1/flow/v2_pipeline/phase_p_cdc_rdc_xprop
#     Report Location  : ./cpu_m1_phase_p_cdc_rdc_xprop/cpu_m1_top/rdc/rdc_verify_struct/spyglass_reports/clock-reset/Setup_blackbox01/cpu_m1_top_trigger.csv
#     SpyGlass Version : SpyGlass_vX-2025.06-SP1
#     Policy Name      : clock-reset(SpyGlass_vX-2025.06-SP1)
#     Comment          : CSV File for Setup_blackbox01 Rule
#
################################################################################
##Sheet_Prop:disable_row_filtering
#InstName:cpu_m1_top.u_core.u_trigger
#MaseterName:trigger
Pin Name, Pin Direction, Status, Constraint(s), Verification clock(s), Validation clock(s)
"csr_rdata[0:31]",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"debug_csr_rdata[0:31]",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"ex_trigger_hit",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"ex_trigger_idx[0:1]",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_trigger_hit",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_trigger_idx[0:1]",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_trigger_is_load",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_trigger_is_store",output,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"clk",input,fully constrained,"clock","N.A","N.A"
"resetn",input,fully constrained,"reset,Inferred abstract_port","cpu_m1_top.clk","N.A"
"csr_raddr[0:11]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"csr_we",input,fully constrained,"reset (propagated)","N.A","N.A"
"csr_waddr[0:11]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"csr_wdata[0:31]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"debug_csr_raddr[0:11]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"debug_csr_we",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"debug_csr_waddr[0:11]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"debug_csr_wdata[0:31]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"ex_valid",input,fully constrained,"reset (propagated)","N.A","N.A"
"ex_pc[0:31]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"ex_is_16bit",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_valid",input,fully constrained,"reset (propagated)","N.A","N.A"
"mem_is_load",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_is_store",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_addr[0:31]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_size[0:1]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
"mem_size[2]",input,fully constrained,"set_case_analysis (propagated)","N.A","N.A"
"fire_valid",input,fully constrained,"reset (propagated)","N.A","N.A"
"fire_idx[0:1]",input,fully constrained,"Inferred abstract_port","cpu_m1_top.clk","N.A"
