M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before RegisterApps : M=845.207mb, Malloc-M=13mb, Available-M=93118mb, T=0s CPU=0s W=(2026-06-09 23:11:18)
STATS:: |   before LicenseMgr Init : M=1263.17mb, Malloc-M=430mb, Available-M=92660mb, T=0s CPU=0s W=(2026-06-09 23:11:19)
STATS:: |   after  LicenseMgr Init : M=1268.43mb, Malloc-M=431mb, Available-M=92599mb, T=0s CPU=0.4s W=(2026-06-09 23:11:19)
STATS:: after  RegisterApps : M=1339.15mb, Malloc-M=432mb, Available-M=92594mb, T=1s CPU=0.96s W=(2026-06-09 23:11:19)
STATS:: before VCS Read Task : M=1389.85mb, Malloc-M=481mb, Available-M=92497mb, T=0s CPU=0s W=(2026-06-09 23:11:20)
STATS:: |   before VSI_Load_DB+ M=1389.97mb, Malloc-M=481mb, Available-M=92512mb, T=0s CPU=0s W=(2026-06-09 23:11:20)
STATS:: |   after  VSI_Load_DB+ M=1390.1mb, Malloc-M=481mb, Available-M=92512mb, T=0s CPU=0s W=(2026-06-09 23:11:20)
STATS:: after  VCS Read Task : M=1391.52mb, Malloc-M=483mb, Available-M=92504mb, T=1s CPU=0.41s W=(2026-06-09 23:11:21)
STATS:: before Load VCS Message: M=1391.58mb, Malloc-M=480mb, Available-M=92509mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: after  Load VCS Message: M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0.01s W=(2026-06-09 23:11:21)
STATS:: before NLDM Creation : M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   before LoadCircuitModel : M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before VsiLib_Restore : M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   after  VsiLib_Restore : M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   after  LoadCircuitModel : M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   before BuildNetlist : M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   before NLDM Build : M=1391.58mb, Malloc-M=481mb, Available-M=92510mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
STATS:: |   |   |   before XMR_Resolution : Total:0 : M=1412.17mb, Malloc-M=503mb, Available-M=92490mb, T=0s CPU=0s W=(2026-06-09 23:11:21)
