Module Name,Module Type,Port Name,Direction,Width,Index,Comment Source,Comment 
cpu_m1_top,Top_Level,clk,INPUT,1,-,module port,Reset vector. Default 0 = native...
cpu_m1_top,Top_Level,resetn,INPUT,1,-,-,-
cpu_m1_top,Top_Level,trap,OUTPUT,1,-,-,-
cpu_m1_top,Top_Level,ibus_req,OUTPUT,1,-,module port,I-side valid/ready (read-only, 1...
cpu_m1_top,Top_Level,ibus_addr,OUTPUT,32,[31:0],-,-
cpu_m1_top,Top_Level,ibus_ready,INPUT,1,-,-,-
cpu_m1_top,Top_Level,ibus_rdata,INPUT,32,[31:0],-,-
cpu_m1_top,Top_Level,dbus_req,OUTPUT,1,-,module port,D-side valid/ready (1 outstanding)
cpu_m1_top,Top_Level,dbus_addr,OUTPUT,32,[31:0],-,-
cpu_m1_top,Top_Level,dbus_we,OUTPUT,1,-,-,-
cpu_m1_top,Top_Level,dbus_wstrb,OUTPUT,4,[3:0],-,-
cpu_m1_top,Top_Level,dbus_wdata,OUTPUT,32,[31:0],-,-
cpu_m1_top,Top_Level,dbus_ready,INPUT,1,-,-,-
cpu_m1_top,Top_Level,dbus_rdata,INPUT,32,[31:0],-,-
cpu_m1_top,Top_Level,irq_external_pulse,INPUT,1,-,-,-
cpu_m1_top,Top_Level,dbg_pc,OUTPUT,32,[31:0],-,-
cpu_m1_top,Top_Level,dbg_instr,OUTPUT,32,[31:0],-,-
cpu_m1_top,Top_Level,dbg_state,OUTPUT,3,[2:0],-,-
